,2010,2011,2012,2013,2014,2015,2016,2017,2018
0-4,0.892655367,0.579286289,0.551346539,0.565772393,0.579848585,0.54659774,0.567659464,0.572602223,0.602836879
5-8,0,0.58,0.566333529,0.57615645,0.575958258,0.559541558,0.573625835,0.57345377,0.757575758
9-12,0,0.5,0.494949495,0.57,0.537953795,0.518939394,0.442942943,0.466237942,0
13-16,0,0.591489362,0.574353671,0.568080573,0.556151166,0.522346369,0.507636154,0.552853134,0.405405405
