,belonging,Lng,Lat,Cid,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage,year,month,day,floor_num,relativeHeight,buildingType_towel,buildingType_bungalow,buildingType_comb,buildingType_plate,house_cnt,mall_cnt
kitchen,0.024789040576593698,0.29429867639705914,-0.006027691001577274,0.022485881869394264,0.06274271297314936,0.09389815742493021,0.11129238152805078,-0.07554758985313552,-0.04683954061053698,0.028456906054184772,1.0,-0.02355256624963817,-0.1768834446981656,-0.1166503838931656,-0.3274650987531882,0.05294266953675728,-0.09280525742283033,0.11707640323099214,0.2307092855606154,0.1275085210736941,-0.14447555926499667,0.1321150471325265,0.03284375084968479,0.005304983004899948,0.008228757581954366,0.02072788174669763,0.02025591645361345,0.15866978753154917,-0.03863365308582069,0.10017659892284932,-0.18390799020223247,0.08532467824422087,0.047953243022241465
bathRoom,-0.24617213376449026,0.2001371830560857,0.16290324429674558,0.04097177780833649,-0.0813353055978071,0.08442648547282573,-0.37920574949184216,0.8738297163165827,0.6383866794420238,0.8101849150859346,-0.02355256624963817,1.0,0.060189135761242005,0.5881923484471413,0.0529122786492106,0.367503067428843,0.2953522810318634,0.3002150021594713,-0.41479144539728297,-0.26618989487709094,0.1392453865439472,-0.37164733015955675,0.08567616683654128,-0.09620004728110633,-0.09813209429068356,0.1018807915279255,2.20528933709124e-05,-0.04709265459367294,-0.15490418634328246,-0.05200564696253074,0.07064510032767238,-0.020906781184185142,-0.05916383959130814
buildingType,-0.3791127604507068,-0.046880508632965806,0.24107837570357987,0.09631519092523586,0.258950222128501,-0.3159359890721491,-0.27927701147533646,0.09869887506271563,0.35822651283267654,0.22365117535840534,-0.1768834446981656,0.060189135761242005,1.0,0.21558993794630585,0.07249937891700976,-0.3710044041842921,0.5031595565749949,-0.5143613777525344,-0.35754215246675547,-0.45909102104559246,0.12326604382915837,-0.3245523923315142,0.3818410465144638,0.043313634501647,-0.014651165971495113,-0.6400144915639727,0.16859190055628842,-0.9696237243672806,0.09086002365516598,-0.2730719664853043,0.9235385443976265,-0.25217822115482036,-0.14564073450778642
constructionTime,-0.3283995280775746,0.018658489961372808,0.007353138979377082,0.15218531583995057,0.018277157306372513,-0.22673884628916663,-0.5991384968840519,0.6901692432509353,0.3508104511205973,0.592208534877467,-0.1166503838931656,0.5881923484471413,0.21558993794630585,1.0,0.2205572284519771,0.5676022472900372,0.4561806430964765,0.36215791457396584,-0.7234724324422648,-0.48714582183282573,0.04360962376906452,-0.6304647836947138,0.39826368572031146,-0.19384159384656097,-0.01376436074874412,0.2487040769201049,-0.047525276864387886,-0.2205772153965685,-0.23177459674617154,0.0004984270690580059,0.17682844235251827,-0.032672656320198355,0.019184785508738554
renovationCondition,0.051077297093822915,-0.2060946445259383,0.009448944983656437,-0.059632039357310394,0.533680059181449,0.050771710752324464,0.017221718446696503,0.051009214422592035,-0.23610580804622375,-0.04660675912278281,-0.3274650987531882,0.0529122786492106,0.07249937891700976,0.2205572284519771,1.0,0.1656330870537897,-0.09398684228031212,0.06847537513476999,-0.30830103934580566,-0.15320168986826296,-0.1559722311098005,-0.09492437015568121,0.42769209873040065,-0.09757629124292236,0.49410405347593117,0.09948685361367571,0.24944641109935373,-0.0593492408818358,-0.11450904734735838,-0.056274008480495505,0.0821592993645709,-0.06162757340271599,-0.003305852891914116
buildingStructure,0.1352900092771557,0.0334719010789512,-0.29835031153612857,0.11021430193249583,-0.09711433162529697,0.19992299458594262,-0.07770169572078392,0.3578558356997672,0.09546963383085975,0.24772778855587146,0.05294266953675728,0.367503067428843,-0.3710044041842921,0.5676022472900372,0.1656330870537897,1.0,-0.035090220891890754,0.7679674543284641,-0.41828591360100675,0.07755734079967475,-0.16174700469648418,-0.11700438320307505,0.1800120683573576,-0.181253014276669,0.05074349665387096,0.6388431144299506,-0.10417962493431254,0.3324057591594399,-0.14816792721323838,0.21538693133948017,-0.38746935660457665,-0.008172986956579122,0.09270280474982907
ladderRatio,-0.339054488019105,0.033253653997959993,0.08294288079381015,0.13416853157361125,-0.054529429830590066,-0.21337191114566897,-0.450411428806743,0.4776855652865042,0.46551761582583623,0.5056468162347553,-0.09280525742283033,0.2953522810318634,0.5031595565749949,0.4561806430964765,-0.09398684228031212,-0.035090220891890754,1.0,-0.09604198690711173,-0.2921180886263909,-0.37210015274381575,0.06302974161314731,-0.4448644706255557,0.17692043474900443,-0.09708696928208811,-0.22675491755489952,-0.07882286571943847,-0.05244437794231122,-0.48543422114952717,-0.07039455826728787,-0.14061022239885257,0.46660612382341066,-0.022540969102689726,-0.003547816287662247
elevator,0.15702969629976088,0.06972968791671984,-0.14984040516004407,0.12300271979541277,-0.1747069247550978,0.23808544366190645,-0.006763047745686139,0.2760679126377375,0.003076413716689868,0.21833903898231533,0.11707640323099214,0.3002150021594713,-0.5143613777525344,0.36215791457396584,0.06847537513476999,0.7679674543284641,-0.09604198690711173,1.0,-0.19177224796968217,0.15744508119635733,-0.012709255865618246,0.017750517747883113,-0.08944030174321874,0.004584893538690488,-0.06909373369439167,0.7228825037422891,-0.16526369740663713,0.4719739297230436,-0.1545714049215289,0.25193686637643464,-0.5188665815111797,0.12860321334649197,0.12291594910789518
fiveYearsProperty,0.3114146905724761,0.10604664657485978,0.02562971501953282,-0.20364341321731966,-0.30394398141209494,0.19753547746347758,0.3587964861591326,-0.40520151809322524,-0.3120113898632935,-0.3555961278790316,0.2307092855606154,-0.41479144539728297,-0.35754215246675547,-0.7234724324422648,-0.30830103934580566,-0.41828591360100675,-0.2921180886263909,-0.19177224796968217,1.0,0.47872967743641764,-0.08244823984718253,0.44002033638229016,-0.5578112011467125,0.1326899897839602,-0.21905294735201664,-0.12489156955076669,-0.1406998325396742,0.31577329773939333,0.10122533525029587,0.21211408399021092,-0.3765629999802536,0.2271263552454859,0.10474432976137088
subway,0.3749454286987154,-0.03853616224020514,-0.24313307956926253,0.09384046980563741,-0.1712040753647808,0.48842791664235347,0.6011524925930435,-0.37164745164980373,-0.31701257597777666,-0.36817231129496797,0.1275085210736941,-0.26618989487709094,-0.45909102104559246,-0.48714582183282573,-0.15320168986826296,0.07755734079967475,-0.37210015274381575,0.15744508119635733,0.47872967743641764,1.0,-0.2904752510754362,0.6089132565759152,-0.286872786778719,0.25586896953744026,-0.0718874749949996,0.2923063081547964,-0.19847277423170023,0.39687491197083874,0.1802818286861642,0.30342537996062313,-0.49617199269872864,0.1378041782916831,0.16076858887462694
