belonging,Lng,Lat,Cid,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage,year,month,day,floor_num,relativeHeight,buildingType_towel,buildingType_bungalow,buildingType_comb,buildingType_plate,house_cnt,mall_cnt
3,116.555729,40.162058,1111027379605.0,4.0,211.08333333333331,22129.0,94.63333333333333,2.083333333333333,1.5,1.0,1.5833333333333333,3.5,2009.0,1.75,2.5,0.3956666666666666,0.0,0.0,0.0,13.0,44235.0,2014.0,5.333333333333333,19.33333333333333,7.833333333333333,2.083333333333333,0.0,0.0,0.5,0.5,12.0,2.0
4,116.42356222727273,40.12507404545455,1111027808945.8635,2.772727272727273,192.6818181818182,21620.886363636364,91.69295454545455,2.090909090909091,1.3863636363636365,1.0,1.2045454545454546,3.977272727272727,2001.909090909091,2.613636363636364,2.1818181818181817,0.4829090909090909,0.0227272727272727,0.6590909090909091,0.0,6.0,37386.81818181818,2014.0,8.727272727272727,15.272727272727272,6.090909090909091,2.522727272727273,0.0,0.0,0.0227272727272727,0.9772727272727272,44.0,2.0
5,116.55772358015268,40.10218848854962,1111027694700.2444,5.961832061068702,231.05190839694657,23571.52671755725,100.6893893129771,2.3282442748091605,1.366412213740458,0.9694656488549618,1.366412213740458,3.549618320610687,2003.0916030534352,2.366412213740458,4.198473282442748,0.4125725190839694,0.5572519083969466,0.7022900763358778,0.4580152671755725,13.0,45712.21374045801,2014.0,6.961832061068702,15.709923664122137,8.13740458015267,2.2748091603053435,0.0,0.0,0.4503816793893129,0.549618320610687,131.0,1.0
6,116.43050819692309,40.08128668717949,1111028016811.3877,5.887179487179488,237.23887179487176,21413.94358974359,115.3172717948718,2.3087179487179488,1.397948717948718,1.0061538461538462,1.4748717948717949,3.214358974358974,2002.956923076923,2.750769230769231,2.99076923076923,0.4233251282051282,0.5148717948717949,0.8184615384615385,0.2892307692307692,6.005128205128205,38350.24102564102,2014.0,7.257435897435897,15.890256410256413,12.77025641025641,2.12,0.2451282051282051,0.0,0.0502564102564102,0.7046153846153846,975.0,3.0
9,116.670768,40.209956,1111027377879.0,3.6666666666666665,239.16666666666663,24972.5,96.04833333333332,2.333333333333333,2.0,1.0,1.1666666666666667,4.0,2008.0,2.0,6.0,0.3886666666666666,1.0,0.1666666666666666,0.0,13.0,47194.0,2014.0,6.166666666666667,9.333333333333334,6.0,2.333333333333333,0.0,0.0,0.0,1.0,6.0,1.0
25,116.70167963333331,39.9406963,1111027381357.1333,4.733333333333333,166.47666666666666,19095.233333333334,88.76266666666668,2.0,1.1666666666666667,1.0,1.2,4.0,2003.9666666666667,2.6,2.4,0.4944333333333333,0.0,0.8666666666666667,0.0,11.0,40357.73333333333,2014.0,7.366666666666666,15.366666666666667,6.166666666666667,2.066666666666667,0.0,0.0,0.0,1.0,30.0,1.0
26,116.703713,39.95821,1111027379259.0,2.5454545454545454,163.73181818181817,15594.0,104.98636363636363,3.0,1.0,1.0,1.0,4.0,1994.0,2.090909090909091,2.090909090909091,0.5,0.0,0.6818181818181818,0.0,11.0,32117.0,2014.0,5.909090909090909,16.136363636363637,6.0,2.0,0.0,0.0,0.0,1.0,22.0,0.0
27,116.59989723529412,40.054343136029416,1111027377959.5771,2.275735294117647,149.89963235294115,21597.246323529413,71.54963235294117,2.172794117647059,1.0845588235294117,1.0036764705882353,1.0588235294117647,3.852941176470588,1990.8676470588236,2.419117647058824,2.5661764705882355,0.4082720588235294,0.0625,0.7977941176470589,0.025735294117647,8.433823529411764,38474.30147058824,2014.0,7.584558823529412,15.838235294117649,6.117647058823529,2.3125,0.0367647058823529,0.0,0.0367647058823529,0.9264705882352942,272.0,5.0
28,116.63456712612611,40.03210424324324,1111027381752.5134,1.7027027027027026,137.78738738738738,16529.576576576575,89.31567567567568,1.963963963963964,1.3783783783783785,1.0,1.1981981981981982,3.864864864864865,1998.882882882883,2.3783783783783785,2.2882882882882885,0.4376666666666667,0.0,0.8288288288288288,0.0,13.0,33687.54954954955,2014.0,7.666666666666667,16.2972972972973,6.333333333333333,2.045045045045045,0.045045045045045,0.0,0.0,0.954954954954955,111.0,1.0
79,116.31883166666668,39.62878633333333,1111027376858.3333,1.3333333333333333,225.28333333333333,11404.5,207.02,3.8333333333333335,2.1666666666666665,1.0,2.1666666666666665,2.0,2007.0,1.8333333333333333,6.0,0.2776666666666667,0.3333333333333333,0.5,0.0,4.0,30818.0,2014.0,4.333333333333333,17.5,13.0,1.8333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,6.0,0.0
