belonging,Lng,Lat,Cid,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage,year,month,day,floor_num,relativeHeight,buildingType_towel,buildingType_bungalow,buildingType_comb,buildingType_plate,house_cnt,mall_cnt
3,116.555729,40.162058,1111027379605.0,7.631578947368421,183.61052631578943,22067.157894736843,81.76,1.868421052631579,1.3157894736842106,1.0,1.394736842105263,3.4473684210526314,2009.0,3.210526315789474,2.421052631578948,0.3967368421052631,0.0,0.3947368421052631,0.0,13.0,44235.0,2015.0,8.394736842105264,17.07894736842105,8.157894736842104,1.6842105263157894,0.0,0.0,0.5526315789473685,0.4473684210526316,38.0,2.0
4,116.42438714673912,40.12617079891304,1111028897289.087,5.489130434782608,195.12391304347827,21097.71195652174,94.56429347826086,2.097826086956522,1.326086956521739,0.9945652173913044,1.2119565217391304,3.994565217391304,2002.4021739130435,2.619565217391304,2.4239130434782608,0.4670271739130435,0.0815217391304347,0.782608695652174,0.0,6.0,37525.29891304348,2015.0,7.798913043478261,15.684782608695652,6.217391304347826,2.358695652173913,0.0,0.0,0.0054347826086956,0.9945652173913044,184.0,2.0
5,116.55750230223882,40.10391440671641,1111028356553.485,6.776119402985074,257.5335820895522,24620.742537313432,106.55309701492536,2.373134328358209,1.3694029850746268,0.9589552238805972,1.455223880597015,3.5597014925373136,2004.0485074626863,3.048507462686567,4.291044776119403,0.4647201492537313,0.5373134328358209,0.6455223880597015,0.4216417910447761,13.0,47209.68656716418,2015.0,7.701492537313433,16.32089552238806,7.92910447761194,2.1791044776119404,0.003731343283582,0.0,0.4291044776119403,0.5671641791044776,268.0,1.0
6,116.42943424505548,40.0807312238302,1111028043041.191,9.338157260009648,239.7469368065605,21119.546550892428,118.40028943560056,2.345875542691751,1.3386396526772792,1.0014471780028944,1.5243608297153883,3.2011577424023154,2002.850940665702,3.228654124457308,2.914134105161601,0.4250738060781476,0.5214664737095996,0.8263386396526773,0.3434635793535938,6.009165460684998,38429.47226242161,2015.0,7.205499276410999,16.03328509406657,13.125904486251809,2.151471297636276,0.2489146164978292,0.0,0.0520984081041968,0.6989869753979739,2073.0,3.0
9,116.6709645,40.20994825,1111027377879.1875,4.0625,237.5,25640.4375,91.355,2.8125,1.875,1.0,1.375,4.0,2008.0,3.375,6.0,0.353875,1.0,0.6875,0.0,13.0,46477.75,2015.0,8.5,17.4375,6.0,1.4375,0.0,0.0,0.0,1.0,16.0,1.0
25,116.70181555555556,39.94078926666667,1111027381379.189,8.322222222222223,182.49,19745.344444444443,94.39633333333332,2.1777777777777776,1.3333333333333333,1.011111111111111,1.211111111111111,4.0,2004.0666666666664,3.522222222222222,2.4,0.4944222222222222,0.0,0.8888888888888888,0.0,11.0,40149.08888888889,2015.0,6.666666666666667,15.488888888888887,6.088888888888889,2.2555555555555555,0.0,0.0,0.0,1.0,90.0,1.0
26,116.703713,39.95821,1111027379259.0,3.1875,167.07916666666668,15905.770833333334,105.03354166666666,3.0,1.0833333333333333,1.0,1.0,4.0,1993.9791666666667,3.208333333333333,2.375,0.5,0.0,0.7916666666666666,0.0,11.0,32117.0,2015.0,7.041666666666667,13.75,6.0,2.25,0.0,0.0,0.0,1.0,48.0,0.0
27,116.59819607126948,40.05491142538976,1111027378116.1292,3.9487750556792873,154.55389755011134,21019.267260579065,74.38026726057906,2.133630289532294,1.0734966592427615,0.9977728285077953,1.10913140311804,3.8574610244988863,1991.8507795100224,2.9688195991091315,2.538975501113586,0.4191492204899777,0.0556792873051225,0.8463251670378619,0.0467706013363029,8.897550111358575,38624.63251670379,2015.0,7.280623608017818,15.930957683741648,6.0846325167037865,2.22271714922049,0.0267260579064587,0.0,0.0623608017817371,0.910913140311804,449.0,5.0
28,116.6344717785235,40.03217128859061,1111027381752.4294,2.12751677852349,141.88120805369127,16372.71812080537,90.88315436241612,2.040268456375839,1.2818791946308723,1.0,1.1946308724832215,3.798657718120805,1998.8993288590605,3.1677852348993287,2.214765100671141,0.4485436241610738,0.0,0.912751677852349,0.0,13.0,33549.409395973154,2015.0,7.073825503355705,16.06040268456376,6.295302013422819,2.2416107382550337,0.0671140939597315,0.0,0.0,0.9328859060402684,149.0,1.0
79,116.3181378,39.6301914,1111027375825.8,2.0,174.0,13980.2,127.326,2.6,1.8,1.0,1.8,2.8,2008.6,2.2,6.0,0.2898,0.6,0.0,0.0,4.0,30933.2,2015.0,8.6,15.0,12.6,1.2,0.4,0.0,0.0,0.6,5.0,0.0
83,116.19321320771512,39.76510669139466,1111039903163.4214,5.504451038575668,193.0765578635015,21122.086053412462,91.7866765578635,2.249258160237389,1.2403560830860534,1.0,1.089020771513353,3.198813056379822,2010.145400593472,3.255192878338279,5.605341246290801,0.4612166172106825,0.8813056379821959,0.1691394658753709,0.4035608308605341,5.0,37593.61424332344,2015.0,9.183976261127595,17.50741839762611,14.937685459940653,2.1246290801186944,0.1572700296735905,0.0,0.3293768545994065,0.5133531157270029,337.0,5.0
84,116.52824208695652,39.82998895652174,1111027377361.8696,6.304347826086956,271.6565217391304,27714.45652173913,98.60347826086957,2.282608695652174,1.391304347826087,1.0,1.1956521739130437,3.891304347826087,2009.434782608696,2.9347826086956523,5.869565217391305,0.5,0.9347826086956522,0.2826086956521739,0.0,4.0,53885.608695652176,2015.0,6.760869565217392,15.021739130434783,6.956521739130435,2.0217391304347827,0.0,0.0,0.108695652173913,0.8913043478260869,46.0,6.0
85,116.4939659758713,39.79787559785523,1111028043179.204,6.327077747989276,245.21501340482573,26358.41286863271,92.45016085790886,1.9812332439678284,1.262734584450402,1.0053619302949062,1.327077747989276,3.2412868632707776,2004.3351206434315,3.300268096514745,4.809651474530831,0.3963002680965147,0.6193029490616622,0.6916890080428955,0.3699731903485255,3.1501340482573728,48878.19302949062,2015.0,7.219839142091152,16.33780160857909,11.73994638069705,2.284182305630027,0.1769436997319035,0.0,0.227882037533512,0.5951742627345844,373.0,7.0
86,116.54466270285717,39.75138993142857,1111029543494.4114,4.988571428571428,199.7731428571429,19203.125714285718,104.59622857142855,2.5428571428571427,1.5771428571428572,1.0,1.3085714285714285,3.931428571428572,2008.5314285714285,3.3314285714285714,5.634285714285714,0.5615428571428571,0.7828571428571428,0.32,0.0,8.44,35238.92,2015.0,7.2057142857142855,15.497142857142856,14.165714285714284,2.0628571428571427,0.0,0.0,0.0685714285714285,0.9314285714285714,175.0,4.0
116,116.70303008450703,39.91664976056338,1111029601506.4846,5.746478873239437,239.9788732394366,26992.549295774646,91.5065352112676,2.0422535211267605,1.4873239436619718,1.0028169014084507,1.3126760563380282,3.12112676056338,2006.5295774647889,3.4422535211267604,4.602816901408451,0.441087323943662,0.6338028169014085,0.4845070422535211,0.3267605633802817,11.0,53275.30704225352,2015.0,6.48169014084507,16.27887323943662,13.338028169014084,2.0028169014084507,0.1295774647887324,0.0,0.4901408450704225,0.380281690140845,355.0,0.0
120,116.65907765214796,39.91104919272077,1111028132774.8694,7.692124105011933,201.93806682577565,23649.71181384248,86.7322076372315,1.9504773269689737,1.25,1.0005966587112172,1.194510739856802,3.4105011933174225,2002.4516706443917,3.443914081145585,3.916467780429594,0.4306241050119331,0.4498806682577566,0.8031026252983293,0.441527446300716,10.873508353221958,43513.47673031026,2015.0,6.914081145584726,15.992840095465391,11.359188544152744,2.193914081145585,0.1091885441527446,0.0,0.2619331742243437,0.6288782816229117,1676.0,16.0
121,116.39113464492752,40.05436298792271,1111027375782.471,12.144927536231885,326.701690821256,36025.67149758454,91.05628019323672,2.0458937198067635,1.3502415458937198,1.0,1.21256038647343,3.5410628019323678,2005.5289855072465,3.4106280193236715,4.42512077294686,0.4733768115942029,0.5652173913043478,0.751207729468599,0.3260869565217391,7.188405797101449,61208.789855072464,2015.0,7.118357487922705,15.456521739130435,11.840579710144928,2.1449275362318843,0.0,0.0,0.4589371980676328,0.5410628019323671,414.0,3.0
122,116.35842513929494,40.08254726526226,1111027777057.5508,8.767841788478075,256.1693035253655,27126.70894239037,97.23994840928631,2.2734307824591573,1.3185726569217542,0.9961306964746346,1.2699914015477214,3.7239896818572658,2003.527944969905,3.3486672398968187,3.3585554600171967,0.4441496130696475,0.2502149613069647,0.8245915735167669,0.6302665520206363,6.174548581255374,47234.25408426483,2015.0,7.338349097162511,15.976784178847808,8.277730008598452,2.223559759243336,0.0636285468615649,0.0,0.0851246775580395,0.8512467755803955,2326.0,3.0
123,116.32550801656494,40.07311387358326,1111030176655.5527,8.663469921534437,278.89014821272883,29762.561464690498,94.32340889276372,2.1403661726242373,1.3374019180470793,0.999128160418483,1.1987794245858765,3.5893635571054925,2004.213600697472,3.193548387096774,4.299912816041848,0.4882275501307759,0.5640802092414996,0.7794245858761988,0.4978204010462075,6.28770706190061,49932.71926765475,2015.0,7.419354838709677,15.606800348735833,12.844812554489971,2.111595466434176,0.045335658238884,0.0,0.2746294681778553,0.6800348735832606,1147.0,7.0
125,116.116904,39.910865,1111047727551.0,4.1,267.3,27567.4,96.356,2.2,1.0,0.7,1.2,4.0,2012.0,3.4,6.0,0.4666,1.0,0.0,0.0,12.0,46120.0,2015.0,7.1,18.8,21.2,2.2,0.0,0.0,0.0,1.0,10.0,1.0
126,116.111318,39.949921,1111027377794.0,3.0789473684210527,226.3052631578948,22379.315789473683,102.50315789473684,2.236842105263158,1.3421052631578947,0.6052631578947368,1.3157894736842106,4.0,2005.4473684210527,3.631578947368421,2.3157894736842106,0.4934210526315789,0.0263157894736842,0.5,0.0,12.0,36923.60526315789,2015.0,6.921052631578948,12.710526315789474,6.157894736842105,2.5526315789473686,0.0,0.0,0.0,1.0,38.0,3.0
127,116.3402866483126,39.78713580106572,1111032619098.9912,6.976909413854352,263.3413854351688,28344.84547069272,93.02081705150977,2.1119005328596803,1.4369449378330372,1.0,1.216696269982238,3.463587921847247,2006.1474245115453,3.2113676731793963,4.412078152753108,0.4660284191829485,0.566607460035524,0.4120781527531083,0.6145648312611013,4.0,50197.63943161634,2015.0,6.948490230905861,15.738898756660744,13.401420959147424,2.071047957371225,0.0870337477797513,0.0,0.2753108348134991,0.6376554174067496,563.0,2.0
