belonging,Lng,Lat,Cid,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage,year,month,day,floor_num,relativeHeight,buildingType_towel,buildingType_bungalow,buildingType_comb,buildingType_plate,house_cnt,mall_cnt
3,116.555729,40.162058,1111027379605.0,1.5384615384615383,176.58076923076925,19043.846153846152,92.8423076923077,2.0,1.4230769230769231,1.0,1.3461538461538465,3.615384615384616,2009.0,1.0,2.5384615384615383,0.4261538461538461,0.0,0.0,0.0,13.0,44235.0,2013.0,5.230769230769231,18.07692307692308,7.576923076923077,1.7307692307692308,0.0,0.0,0.3846153846153846,0.6153846153846154,26.0,2.0
4,116.42176622222225,40.13315222222222,1111027379751.9077,3.555555555555556,181.73888888888888,20108.777777777777,96.36777777777776,2.2777777777777777,1.3703703703703705,1.0185185185185186,1.2222222222222223,4.0,1997.7592592592596,1.0,2.259259259259259,0.4489814814814815,0.0,0.7037037037037037,0.0,6.0,33345.72222222222,2013.0,6.148148148148148,16.444444444444443,5.703703703703703,2.388888888888889,0.0,0.0,0.0,1.0,54.0,2.0
5,116.55907274782608,40.102531847826086,1111027378650.5652,2.6130434782608694,206.59695652173917,22024.24347826087,99.63326086956522,2.2869565217391306,1.291304347826087,0.9,1.4043478260869566,3.465217391304348,2003.6260869565217,1.0,4.339130434782609,0.3959347826086956,0.6043478260869565,0.4478260869565217,0.5304347826086957,13.0,46092.94347826087,2013.0,6.152173913043479,15.960869565217392,8.291304347826086,2.095652173913044,0.0,0.0,0.5347826086956522,0.4652173913043478,230.0,1.0
6,116.43053949722224,40.08022982638889,1111027761282.785,4.027083333333334,229.5155555555556,20395.231944444444,118.45206944444443,2.3541666666666665,1.4402777777777778,1.0034722222222223,1.5576388888888888,3.1868055555555554,2003.0965277777775,1.0,3.145833333333333,0.4162402777777778,0.5361111111111111,0.4027777777777778,0.3111111111111111,6.000694444444444,37763.23541666667,2013.0,5.819444444444445,15.552777777777775,12.936111111111112,2.1444444444444444,0.2472222222222222,0.0,0.0715277777777777,0.68125,1440.0,3.0
9,116.67209815384616,40.20990353846154,1111027377880.2693,2.076923076923077,158.0,20409.96153846154,78.01307692307692,3.1923076923076925,2.0,1.0769230769230769,1.8846153846153848,4.0,2008.0,1.0,6.0,0.3459615384615385,1.0,0.0769230769230769,0.0,13.0,42345.53846153846,2013.0,6.153846153846154,14.73076923076923,6.0,2.6538461538461537,0.0,0.0,0.0,1.0,26.0,1.0
25,116.70209358426966,39.94056080898877,1111027381208.7754,5.438202247191011,160.71123595505617,17321.76404494382,95.72101123595506,2.101123595505618,1.4269662921348314,0.9775280898876404,1.202247191011236,4.0,2004.1573033707864,1.0,2.7191011235955056,0.4849325842696629,0.0,0.6629213483146067,0.0,11.0,40625.83146067416,2013.0,5.101123595505618,16.179775280898877,6.247191011235955,2.168539325842697,0.0,0.0,0.0,1.0,89.0,1.0
26,116.703713,39.95821,1111027379259.0,1.36,146.226,13926.56,104.9896,3.0,1.08,1.0,1.0,4.0,1993.98,1.0,2.48,0.5,0.0,0.78,0.0,11.0,32117.0,2013.0,5.74,15.4,6.0,2.16,0.0,0.0,0.0,1.0,50.0,0.0
27,116.5975932761394,40.05518089276139,1111027378286.3352,2.190348525469169,153.41930294906166,21367.04825737265,74.2172654155496,2.1983914209115283,1.1420911528150135,1.0,1.096514745308311,3.8659517426273458,1990.857908847185,1.0,2.520107238605898,0.4071528150134048,0.0589812332439678,0.7158176943699732,0.0563002680965147,9.091152815013404,38112.89008042895,2013.0,6.270777479892762,16.70509383378016,5.994638069705094,2.428954423592493,0.0294906166219839,0.0,0.0455764075067024,0.9249329758713136,373.0,5.0
28,116.63436963636364,40.032202113636366,1111027381752.2273,1.7613636363636365,143.12386363636364,17269.920454545456,88.20125,1.8977272727272727,1.306818181818182,1.0113636363636365,1.181818181818182,3.863636363636364,1999.1136363636365,1.0,2.238636363636364,0.4298977272727273,0.0,0.6477272727272727,0.0,13.0,33655.545454545456,2013.0,7.102272727272728,16.363636363636363,6.363636363636363,2.147727272727273,0.0454545454545454,0.0,0.0,0.9545454545454546,88.0,1.0
79,116.3189184,39.6286107,1111027376987.4,2.5,205.83,12577.6,169.981,3.0,1.8,1.0,2.2,2.8,2006.9,1.0,5.8,0.3116,0.4,0.3,0.0,4.0,30803.6,2013.0,7.0,14.1,10.2,1.5,0.4,0.0,0.0,0.6,10.0,0.0
83,116.199151,39.773939,1111027377934.5,0.0,124.5,10076.5,124.535,3.0,1.5,1.0,1.5,4.0,2005.5,1.0,2.0,0.5,0.0,0.0,0.0,5.0,30910.0,2013.0,2.0,15.0,6.0,4.0,0.0,0.0,0.0,1.0,2.0,5.0
84,116.5279771142857,39.829981485714285,1111027377361.629,3.257142857142857,266.75714285714287,25817.085714285717,103.758,2.342857142857143,1.6285714285714286,0.9714285714285714,1.3142857142857145,3.971428571428572,2009.6285714285716,1.0,5.942857142857143,0.5,0.8857142857142857,0.0,0.0,4.0,53571.71428571428,2013.0,5.571428571428571,16.685714285714287,6.485714285714286,2.2,0.0,0.0,0.0285714285714285,0.9714285714285714,35.0,6.0
