belonging,point1,point2,point3,Final_point
143,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0
147,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
148,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
149,1.2857142857142858,2.2962962962962963,2.5476890998938813,6.129699681904464
150,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0
156,0.0,0.0,0.0,0.0
157,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0
160,0.0,0.0,0.0,0.0
161,0.0,0.0,0.0,0.0
162,0.0,0.0,0.0,0.0
163,0.0,0.0,0.0,0.0
164,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0
167,1.2857142857142858,1.5806451612903225,2.5859144779153587,5.452273924919967
168,0.0,0.0,0.0,0.0
169,0.0,0.0,0.0,0.0
170,1.2857142857142858,2.2333333333333334,2.563680116080895,6.082727735128514
171,1.2857142857142858,7.5,2.584785784526532,11.37050007024082
172,0.0,0.0,0.0,0.0
173,0.0,0.0,0.0,0.0
174,1.2857142857142858,3.5384615384615383,2.6748802623408827,7.499056086516706
175,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
176,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
177,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
178,1.2857142857142858,2.2333333333333334,2.704695809809355,6.223743428856974
179,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
180,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
181,1.2857142857142858,3.5384615384615383,2.5121168808806567,7.336292705056481
182,1.2857142857142858,2.2333333333333334,2.483233654143411,6.00228127319103
183,1.2857142857142858,1.5806451612903225,2.592598804177458,5.458958251182066
184,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0
186,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0
194,1.2857142857142858,2.125,3.095604473666881,6.506318759381166
195,1.2857142857142858,1.5806451612903225,2.7995903292072497,5.665949776211859
196,1.2857142857142858,2.2333333333333334,2.6881963393829595,6.2072439584305785
197,1.2857142857142858,2.2962962962962963,2.7780220883963684,6.360032670406951
198,1.2857142857142858,2.2962962962962963,2.7815630781516085,6.36357366016219
199,1.2857142857142858,1.5806451612903225,2.8678185399892024,5.734177986993811
200,1.2857142857142858,2.2333333333333334,2.589023083850665,6.108070702898284
201,1.2857142857142858,2.2962962962962963,2.907737253592667,6.489747835603249
202,1.2857142857142858,2.2333333333333334,2.706928905644761,6.2259765246923795
203,1.2857142857142858,2.2333333333333334,3.1185730589190634,6.637620677966682
204,1.2857142857142858,2.125,2.9680154092003983,6.378729694914684
205,1.2857142857142858,7.5,2.90164858170324,11.687362867417527
206,1.2857142857142858,1.5806451612903225,3.0005110160454347,5.866870463050043
207,1.2857142857142858,2.2962962962962963,2.857698303556379,6.4397088855669615
208,1.2857142857142858,2.2962962962962963,2.8724747688614434,6.454485350872026
209,1.2857142857142858,1.5806451612903225,2.4532467615014877,5.319606208506096
210,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
211,1.2857142857142858,2.2333333333333334,2.8187561885041803,6.337803807551799
212,1.2857142857142858,1.5806451612903225,2.8050856166764513,5.67144506368106
213,1.2857142857142858,2.2333333333333334,3.002108167699949,6.521155786747568
214,1.2857142857142858,1.5806451612903225,2.981841203206655,5.848200650211263
215,1.2857142857142858,1.5806451612903225,2.7349695931284574,5.601329040133066
216,1.2857142857142858,2.125,2.719656665069469,6.130370950783755
217,1.2857142857142858,2.2962962962962963,2.688833021514016,6.2708436035245985
218,1.2857142857142858,2.2333333333333334,2.5850263876709665,6.1040740067185855
219,1.2857142857142858,2.2962962962962963,2.8281994085895765,6.410209990600158
220,1.2857142857142858,2.125,2.7530619467846025,6.163776232498888
221,1.2857142857142858,1.5806451612903225,2.840063300764708,5.706422747769317
222,1.2857142857142858,3.5384615384615383,2.973880995805783,7.798056819981607
223,1.2857142857142858,1.5806451612903225,2.825149131570988,5.691508578575597
224,1.2857142857142858,7.5,2.920447530279937,11.706161815994223
225,1.2857142857142858,1.5806451612903225,2.9798431858665766,5.846202632871185
226,1.2857142857142858,2.2962962962962963,3.0085397673387506,6.590550349349333
227,1.2857142857142858,2.125,2.942043906468775,6.35275819218306
228,1.2857142857142858,6.2,2.8295794594064594,10.315293745120744
229,1.2857142857142858,2.2962962962962963,2.8497128324848044,6.431723414495387
230,1.2857142857142858,2.2333333333333334,2.9564827674774454,6.475530386525064
231,1.2857142857142858,3.5384615384615383,2.864946350515969,7.689122174691793
232,1.2857142857142858,2.125,2.9305104410399285,6.341224726754215
233,1.2857142857142858,6.2,2.755404543510285,10.241118829224572
234,1.2857142857142858,7.5,2.9092458243023875,11.694960110016673
235,1.2857142857142858,0.0,2.911501040673037,4.197215326387322
236,1.2857142857142858,1.5806451612903225,3.289457356934159,6.155816803938768
237,1.2857142857142858,2.2962962962962963,2.836160812059566,6.418171394070148
238,1.2857142857142858,2.2962962962962963,2.590271206859034,6.172281788869617
239,1.2857142857142858,2.2333333333333334,2.839519094492934,6.358566713540553
240,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
241,1.2857142857142858,1.5806451612903225,2.5479732164649813,5.41433266346959
242,1.2857142857142858,2.2962962962962963,2.7092086070269277,6.29121918903751
243,1.2857142857142858,3.5384615384615383,2.840841422487647,7.665017246663471
244,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
245,1.2857142857142858,2.2333333333333334,2.7402763515754813,6.2593239706231
246,1.2857142857142858,16.0,2.884906218538967,20.17062050425325
247,1.2857142857142858,1.5806451612903225,2.7276211286004397,5.593980575605048
248,1.2857142857142858,3.5384615384615383,2.707910493169875,7.5320863173456996
249,0.0,0.0,0.0,0.0
250,1.2857142857142858,2.2962962962962963,2.922206828653952,6.504217410664534
251,1.2857142857142858,1.5806451612903225,2.562683159235883,5.4290426062404915
252,0.0,0.0,0.0,0.0
253,1.2857142857142858,1.5806451612903225,3.013240787700931,5.879600234705539
254,1.2857142857142858,2.2333333333333334,2.7666153785453735,6.2856629975929925
255,1.2857142857142858,2.125,2.830574642884871,6.241288928599157
256,1.2857142857142858,3.0,2.9642556434784106,7.249969929192696
257,1.2857142857142858,16.0,2.718910367995749,20.004624653710035
258,1.2857142857142858,7.5,2.8459816030121665,11.631695888726453
259,1.2857142857142858,2.2962962962962963,2.782910187414814,6.364920769425396
260,1.2857142857142858,2.125,2.8836117051898627,6.294325990904149
261,1.2857142857142858,2.125,2.7938164930948957,6.204530778809181
262,1.2857142857142858,2.2333333333333334,2.8675632437615937,6.386610862809213
263,1.2857142857142858,2.2333333333333334,2.885013615072821,6.40406123412044
264,1.2857142857142858,2.2962962962962963,2.8234764106028982,6.405486992613481
265,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
266,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
267,1.2857142857142858,3.5384615384615383,2.59787792431187,7.422053748487694
268,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
269,1.2857142857142858,1.5806451612903225,2.9489694885644324,5.815328935569041
270,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
271,0.0,0.0,0.0,0.0
272,0.0,0.0,0.0,0.0
273,1.2857142857142858,2.2333333333333334,2.8607977010085595,6.379845320056178
274,1.2857142857142858,3.5384615384615383,2.89990595137039,7.724081775546214
275,1.2857142857142858,2.125,2.8635003736813402,6.274214659395626
276,0.0,0.0,0.0,0.0
277,1.2857142857142858,1.5806451612903225,2.934247956621039,5.800607403625648
278,1.2857142857142858,6.2,2.6986104431038447,10.18432472881813
279,1.2857142857142858,2.2333333333333334,2.556273078969001,6.07532069801662
280,0.0,0.0,0.0,0.0
281,1.2857142857142858,2.2333333333333334,2.6273256946035715,6.146373313651191
282,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
283,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
284,1.2857142857142858,2.2962962962962963,2.6648505020916415,6.246861084102224
285,1.2857142857142858,1.5806451612903225,2.9329179068390663,5.799277353843674
286,0.0,0.0,0.0,0.0
287,0.0,0.0,0.0,0.0
288,1.2857142857142858,2.125,2.8817282672418862,6.292442552956172
289,1.2857142857142858,2.2333333333333334,2.923728196419842,6.442775815467461
290,1.2857142857142858,7.5,2.9060696853913157,11.691783971105602
291,0.0,0.0,0.0,0.0
292,0.0,0.0,0.0,0.0
293,1.2857142857142858,2.2333333333333334,2.5698759237338136,6.0889235427814326
294,1.2857142857142858,2.2333333333333334,2.741680838824589,6.260728457872208
295,1.2857142857142858,1.5806451612903225,2.744206893894701,5.610566340899309
296,1.2857142857142858,1.5806451612903225,3.095355598982017,5.961715045986626
297,1.2857142857142858,2.125,2.8182794517256755,6.228993737439961
298,0.0,0.0,0.0,0.0
299,1.2857142857142858,2.2962962962962963,2.9648145524757603,6.546825134486342
300,1.2857142857142858,2.2962962962962963,2.6937271969022736,6.2757377789128554
301,1.2857142857142858,2.125,2.9720444857759,6.3827587714901854
302,1.2857142857142858,2.2962962962962963,2.8387352569780173,6.4207458389886
303,1.2857142857142858,2.2333333333333334,2.865496676136474,6.384544295184093
304,1.2857142857142858,2.2333333333333334,3.2103220508794372,6.729369669927056
305,1.2857142857142858,2.2333333333333334,2.923124513043287,6.4421721320909064
306,1.2857142857142858,3.5384615384615383,2.948609075866104,7.772784900041928
307,1.2857142857142858,2.2962962962962963,2.931974640177047,6.513985222187629
308,1.2857142857142858,2.2962962962962963,2.8884951924561566,6.470505774466739
309,1.2857142857142858,2.2962962962962963,2.6415297146552486,6.223540296665831
310,1.2857142857142858,2.2962962962962963,2.9636563453267852,6.5456669273373675
311,1.2857142857142858,1.5806451612903225,2.757497564891796,5.623857011896405
312,1.2857142857142858,2.2333333333333334,2.8102076763828094,6.329255295430428
313,1.2857142857142858,1.5806451612903225,2.561599459343938,5.427958906348547
314,1.2857142857142858,6.2,2.9272087788310435,10.412923064545328
315,0.0,0.0,0.0,0.0
316,0.0,0.0,0.0,0.0
317,0.0,0.0,0.0,0.0
318,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
319,1.2857142857142858,3.5384615384615383,2.740431274876681,7.564607099052505
320,1.2857142857142858,2.125,3.0276177460987412,6.438332031813027
321,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
322,1.2857142857142858,1.5806451612903225,2.557276034413679,5.423635481418287
323,1.2857142857142858,1.5806451612903225,2.52583272391425,5.392192170918859
324,1.2857142857142858,1.5806451612903225,2.6209485578653013,5.487308004869909
325,1.2857142857142858,0.0,2.8946317620821698,4.180346047796456
326,0.0,0.0,0.0,0.0
327,0.0,0.0,0.0,0.0
