name,latitude,longitude
东安市场,39.546284,116.34756
好世界商业广场(北京国际中心店),39.921422,116.462701
DT51,39.904179,116.407387
北京赛尔奥特莱斯商业广场,22.317484,114.194018
望京小街WALK,39.989421,116.482352
鸿坤广场,39.791282,116.342529
中昂时代广场,39.944315,116.095919
BHG Mall北京华联购物中心(平谷店),40.028684,116.311258
路劲世界广场,40.206866,116.291906
苏宁生活广场,39.91588,116.494646
金泉广场,40.003077,116.414001
北京悦荟(南环路店),40.212115,116.239161
新光界(金唐店),39.904179,116.407387
郎园Park,39.909859,116.234965
新年华购物中心,39.877289,116.325635
西单觅食森林,39.913345,116.373208
新荟城(望京店),39.904179,116.407387
中粮·祥云小镇,40.088227,116.537301
融科天地(融科资讯中心),39.983864,116.326989
西点mall购物中心(永定路店),39.967001,116.340566
国瑞购物中心,39.89828,116.419844
四元桥购物中心,39.978579,116.460807
新奥购物中心,39.998354,116.393657
金宝汇购物中心,39.915162,116.421522
望京华彩商业中心,40.010455,116.46782
澳门中心,39.914866,116.413327
首创奥特莱斯(房山店),39.763613,116.186584
北京长安天街,39.905131,116.123328
华联商厦(五道口店),39.904179,116.407387
昌发展万科广场,40.066232,116.315847
华贸天地,40.048137,116.430521
居然之家家居生活MALL(丽泽店),39.872163,116.310191
华夏幸福创新中心·特色商街,39.823149,116.301559
千禧商业街,39.890064,116.283342
合景·摩方购物中心,39.899815,116.418094
食宝街(航天桥店),39.924142,116.310133
北京安贞环宇荟,39.977871,116.406337
凯德Mall(大兴店),39.854165,116.366142
暖山生活,40.031967,116.415407
首航生活广场(七里庄店),39.761932,116.436855
枫蓝国际购物中心,39.952958,116.356605
合生广场,39.855749,116.397728
新辰里购物中心,39.991329,116.406398
BHG Mall(公益西桥店),40.029084,116.311151
陆港城,39.925007,116.59289
BHG Mall(回龙观店),40.029084,116.311151
西西109,30.561331,114.210228
官舍,39.951686,116.463936
京粮广场,39.930845,116.253898
伊藤洋华堂(亚运村店),39.904179,116.407387
龙湖北京房山天街,39.74553,116.140617
BHGMall(武夷店),39.904179,116.407387
翠微百货(龙德店),39.904179,116.407387
万科广场(旧宫店),39.882346,116.264973
苏宁百货(通州店),39.906626,116.225676
尚街购物中心,39.91703,116.517222
新燕莎金街购物广场,39.909833,116.410561
中央公园广场商铺,40.141219,117.107698
正大中心,39.912578,116.467852
燕丰商场,39.96008,116.439068
达美艺术中心,39.936936,116.516834
BHG Mall(同成街店),40.029084,116.311151
米兰·life生活广场,39.879775,116.312643
汇京双子座大厦,39.90775,116.448639
哇沃生活广场(学院路店),39.957568,116.348856
Plus365购物中心(门头沟店),39.912366,116.595752
哈德门广场,39.899767,116.420346
棕榈泉生活广场,39.931954,116.4788
天虹(北京国展店),39.888769,116.341306
城乡购物中心(公主坟店),39.908792,116.307452
万科时代中心(朝阳路店),39.990909,116.484326
悦茂购物中心,40.043497,116.34972
BHG Mall北京华联亦庄购物中心,39.80546,116.50193
永利国际中心,39.934667,116.444682
泰禾新天地,39.904333,116.219714
燕莎友谊商城(金源店),39.948858,116.463019
密云万象汇,40.355646,116.835408
太阳飘亮购物中心,40.213212,116.527835
华威约饭街,39.911284,116.374336
北京建外环宇荟,39.922948,116.162101
金地广场(大望路店),39.909108,116.474488
华冠购物中心(良乡店),39.735063,116.139337
BHG Mall(常营店),40.029084,116.311151
当代商城(鼎城店),39.829549,116.285636
财富购物中心,39.803324,116.570353
21区block(合生麒麟新天地),39.904179,116.407387
圣熙8号购物中心,40.008667,116.354362
京投港·长阳购物中心,39.763023,116.212914
毕淘买生活广场,39.975785,116.490901
三旗百汇商品城,40.061358,116.340144
新奥天虹,40.001509,116.396034
芳圆里ID MALL,39.889111,116.48788
绿地缤纷城(房山店),39.764158,116.33415
