,name,longitude,latitude,belonging
137,兴德瑞商场,116.33924,39.73081699999999,130
138,兴民商场,116.322373,39.7308,130
139,兴糖商场,116.3355632,39.72246,130
140,兴糖礼贤商场雪松电器分店,116.434505,39.556519,146
141,兴达副食商场,116.339248,39.730048,130
142,兴隆信平超市,116.60846,40.13719,169
143,凤凰汇购物中心,115.973542,40.4589,164
144,凯德MALL,116.352875,39.941619,207
145,凯德MALL(大峡谷店),116.366142,39.854165,294
146,凯德晶品购物中心,116.297451,39.908102,206
147,凯时广场,116.339434,40.001426,258
148,利生体育商厦,116.410545,39.916601,323
149,劲松百货商场,116.455928,39.88411,314
150,北京SKP,116.478876,39.910067,226
151,北京apm,116.411692,39.914252,213
152,北京世茂百货,116.4493987,39.9341942,229
153,北京东方广场,116.414316,39.909603,213
154,北京中大瑞祥百货,116.135495,39.730593,131
155,北京中粮广场购物中心,116.429935,39.907633,213
156,北京丽泽天街,116.334369,39.866687,289
157,北京仟盛慧商城,116.830804,40.3889098,327
158,北京佳润发商城,116.7887606,40.3651452,42
159,北京侨福芳草地,116.448621,39.919524,225
160,北京光彩商场,116.415257,39.853093,301
161,北京兴鑫兴华五交化商场,116.4406159,39.804537,128
162,北京华硕中心长西商场,116.362015,39.898619,202
163,北京华联,116.431284,39.921784,221
164,北京华联万柳购物中心,116.29523,39.973062,273
165,北京友谊商店,116.443088,39.909089,222
166,北京友谊商店(建国门外大街店),116.443216,39.909061,222
167,北京君太百货,116.373655,39.909465,201
168,北京嘉里中心,116.45963,39.914045,225
169,北京国体商城,116.397063,39.86495499999999,310
170,北京坊,116.3954,39.89871,323
171,北京姚家园万象汇,116.421537,39.965021,220
172,北京安贞环宇荟,116.406337,39.977871,259
173,北京密红发商城,116.8208188,40.3754976,327
174,北京富力广场,116.460945,39.8955905,224
175,北京富力广场(东三环中路店),116.460622,39.895453,224
176,北京市利源城乡商厦,116.662098,40.106969,171
177,北京市复兴商业城,116.351718,39.90684299999999,202
178,北京市大新亚商场,116.341953,39.7264,130
179,北京市广安菜市口百货市场中心,116.339317,39.730564,130
180,北京市新世纪商城回龙观新晨商场,116.378143,40.056922,121
181,北京市新城百货商场,116.657771,39.904895,120
182,北京市朝阳区光华建材综合商场,116.601737,39.908381,243
183,北京市沙河百货商场,116.267697,40.132532,133
184,北京市百货大楼,116.410377,39.913498,323
185,北京市百货大楼(王府井店),116.410131,39.913779,323
186,北京市通州光明商场,116.668324,39.908227,120
187,北京市门头沟副食商场,116.099574,39.945227,126
188,北京市顺义力源商场,116.496852,40.171835,3
189,北京帝园商城(黄村东大街店),116.34055,39.732222,130
190,北京延庆万达广场,115.984571,40.474098,164
191,北京建外环宇荟,116.162101,39.922948,280
192,北京悦荟(南环路店),116.239161,40.212115,174
193,北京房山商贸有限公司良乡商场,116.142304,39.736344,131
194,北京新世界利莹百货,116.4803333,39.9866667,325
195,北京新世界商场,116.417516,39.896512,214
196,北京新昌百商场,116.2330302,40.2243952,174
197,北京方庄购物中心,116.428819,39.865496,306
198,北京明发广场,116.325612,39.68785,130
199,北京明清工艺购物商场,116.516873,40.026404,251
200,北京永隆公司前门百货商场,116.399921,39.899483,323
201,北京熙悦天街,116.184867,39.732991,83
202,北京燕莎奥特莱斯,116.488839,39.878694,228
203,北京环球城市大道Universal CityWalk Beijing,116.677137,39.851692,187
204,北京百货公司第一商场,116.430744,39.932674,218
205,北京百货大楼集团新业商场,116.421957,39.897961,223
206,北京百龙天安商场西门,116.400412,39.900758,323
207,北京石景山万达广场,116.226867,39.905826,284
208,北京缤纷汇购物中心,116.459256,39.894014,224
209,北京菜市口生活购物广场,116.367185,39.888872,204
211,北京赛尔奥特莱斯商业广场有限公司,116.323761,39.828993,290
212,北京赛特奥莱,116.50374,40.035655,253
213,北京赛特购物中心,116.441571,39.907781,222
214,北京鑫志利华百货,116.662124,40.112368,171
215,北京银泰中心in01(建国门外大街店),116.459374,39.907557,222
216,北京长安天街,116.123328,39.905131,125
217,北京馨港购物商场,116.666081,40.034398,28
219,北投购物公园,116.401772,39.978941,260
220,北辰荟,116.387761,40.003452,255
221,北辰购物中心,116.407235,39.994052,260
222,千禧商业街,116.283342,39.890064,288
