belonging,Lng,Lat,Cid,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage,year,month,day,floor_num,relativeHeight,buildingType_towel,buildingType_bungalow,buildingType_comb,buildingType_plate,house_cnt,mall_cnt
126,116.111318,39.949921,1111027377794.0,0.0,144.85833333333332,15081.833333333334,96.26541666666668,2.0416666666666665,1.3333333333333333,0.0,1.1666666666666667,4.0,2004.2083333333333,3.7916666666666665,3.0,0.5,0.0,0.0,0.0,12.0,36923.0,2010.0,5.458333333333333,13.75,6.0,2.4166666666666665,0.0,0.0,0.0,1.0,24.0,3
275,116.167112,39.936388,1111027378400.0,0.0,96.6,14885.0,64.9,2.0,1.0,0.0,1.0,1.0,1987.0,3.0,6.0,0.286,1.0,0.0,0.0,9.0,44074.0,2010.0,10.0,10.0,16.0,2.0,1.0,0.0,0.0,0.0,1.0,1
279,116.1201767218543,39.9370689205298,1111034648445.7683,0.0,134.15430463576158,15576.05298013245,85.32788079470198,2.006622516556291,1.1986754966887416,0.0,1.1125827814569536,3.880794701986755,2002.3443708609277,3.410596026490066,3.880794701986755,0.433430463576159,0.4569536423841059,0.0,0.0,12.0,38373.403973509936,2010.0,6.71523178807947,15.90728476821192,9.794701986754967,2.4304635761589406,0.0,0.0,0.119205298013245,0.8807947019867549,151.0,1
308,116.359171,39.886349,1111027377111.0,0.0,156.5,23566.0,66.41,2.0,1.0,0.0,1.0,4.0,1996.0,3.0,2.0,0.333,0.0,0.0,0.0,10.0,85290.0,2010.0,12.0,12.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1
