name,longitude,latitude
1733商业空间,116.407387,39.904179
3.3三点三大厦,114.707013,23.75516
BHG Mall(公益西桥店),116.311151,40.029084
BHG Mall北京华联亦庄购物中心,116.50193,39.80546
BHG Mall北京华联购物中心(天时名苑店),116.311258,40.028684
BOM嘻番里,116.353832,40.001771
KALCITY能量城市,116.280921,39.953787
NTP新城广场,116.421973,39.868456
New World Shopping Mall,116.4177847,39.8966993
Plus365购物中心(门头沟店),116.595752,39.912366
SOGO新馆,116.375389,39.896475
SOLANA蓝色港湾,116.475922,39.949382
T+MALL,116.454751,39.932155
THE BOX朝外年轻力中心,116.444814,39.923495
TONGLI MARKET同里市集,116.697863,39.942789
The Place,116.4717659,39.91364069999999
西单民族商场,116.3761846,39.9104099
k酷时尚广场,116.420089,40.032862
一起来生活MALL,116.242945,40.220191
七棵树商场,116.094355,39.953457
万优汇Unit One,116.414299,40.055948
万德福广场,117.093136,40.147772
万意百货(回龙观店),116.334808,40.079674
万意百货商场广场,116.636522,39.905658
万泽经海广场,116.562726,39.782265
万科广场(旧宫店),116.264973,39.882346
万科时代中心(朝阳路店),116.484326,39.990909
万达广场,116.298886,39.824598
万达广场(CBD店),116.225303,39.906431
万鑫佰隆购物商城,116.591607,39.916911
万龙商场(安立路店),116.408166,39.993585
三旗百汇商品城,116.340144,40.061358
三旗百汇商品城-三厅,116.34137,40.062464
三羊生活广场,116.523935,39.821879
三里屯SOHO,116.453502,39.932257
三里屯太古里,116.452962,39.934474
上品+(城市奥莱店),116.358333,39.850955
上品+互联网社区奥莱(草桥店),116.290609,39.844952
上品宜购城市奥莱,116.41745,40.031125
上海沙龙新天地天宝商业中心,116.498734,39.791723
世界之花假日广场,116.422891,39.820155
世纪园商城(商业街店),116.634772,40.314286
世纪天鼎购物广场,116.401764,39.89162
世纪家家福生活广场(和义店),116.402825,39.813541
世纪金源购物中心,116.288301,39.958603
世纪金源购物中心童兜天地,116.28881,39.958426
世纪隆购物中心,117.115629,40.147239
世茂广场(工三店),116.449383,39.935099
世贸天阶,116.452017,39.916492
东升La Vie商业广场,115.991668,39.786474
东升生活广场,115.967144,39.758531
东安市场,116.34756,39.546284
东家营商场,116.512922,40.03605
东方天作商城,116.662309,39.865903
东方广场,116.414092,39.909369
东方新天地,116.414498,39.909473
东方金融中心,116.363957,39.936251
东森时尚百货,116.427925,39.854727
东潞苑商场,116.676754,39.936648
东环广场,116.435968,39.937226
中关村壹号,116.247329,40.076091
中关村广场购物中心,116.313091,39.981397
中关村广场购物中心B区,116.313086,39.981229
中关村领展广场,116.314538,39.979182
中发百旺商城,116.276833,40.028943
中商华贸商厦,116.598817,39.912562
中国国际展览中心顺义新馆,116.549281,40.071208
中国第一商城,116.470721,39.915663
中国联通燕丹手机商场,116.4397062,40.0871282
中复电迅商场,116.41064,39.921683
中央公园广场商铺,117.107698,40.141219
中昂时代广场,116.095919,39.944315
中服电讯商场（大兴动感96商场）店,116.340279,39.732016
中福万合广场,116.308093,39.909317
中福百货(望京店),116.463629,40.000569
中粮·祥云小镇,116.537301,40.088227
中粮广场,116.429877,39.907018
中踏广场,115.976231,40.460086
中间艺术区,116.230445,39.954189
中骏·世界城,118.65865,24.918619
丰体时代商城,116.271118,39.867205
丰台大悦春风里,116.36466,39.810084
丰联广场,116.438475,39.923738
丽泽16号购物中心,116.312761,39.876181
丽泽天地,116.334537,39.866546
丽都广场-商业,116.47846,39.977185
久隆百货(酒仙桥店),116.494903,39.961618
乐友易世达广场(易事达广场店),116.339693,39.737211
乐天银泰百货,116.41175,39.916326
乐客安商城,116.464383,39.996373
乔庄商场,116.688163,39.893101
云岗百货商场,116.159395,39.809416
云影电影小镇,116.593025,39.911055
五交化商场,116.634116,40.31460999999999
五棵松购物中心,116.276665,39.912583
五道口购物中心,116.3392904,39.9925181
亚特商场,116.341999,39.726264
亦庄创意生活广场,116.50626,39.810932
京东派(华北电力大学店),116.555904,39.786059
京力港商城,116.104399,39.937501
京北大世界,116.632241,40.31532
京妮儿童汇(通州华业店),116.415506,40.068152
京投港·长阳购物中心,116.212914,39.763023
京果商厦,116.345804,39.96034
京汉生活广场,116.66362,40.134829
京泰购物广场,116.462038,39.992998
京港城生活广场,116.414497,39.840509
京粮广场,116.253898,39.930845
京西大悦城,116.183412,39.925501
京通罗斯福,116.658551,39.889035
京颐商场,116.315028,39.932867
京饮华天商厦,116.341331,39.913638
亮马国际珠宝古玩城,116.476946,39.955255
亿兆百货,116.397877,39.896716
亿利生态广场,116.47074,39.914389
