,2010,2011,2012,2013,2014,2015,2016,2017,2018
0-4,0.101694915,0.168768446,0.182461607,0.179186499,0.163152279,0.190117817,0.176585348,0.185340117,0.177304965
5-8,0,0.141111111,0.142857143,0.1402783,0.156130845,0.176667909,0.173356211,0.189311253,0.121212121
9-12,0,0.35,0.191919192,0.215,0.201320132,0.215909091,0.198198198,0.154340836,1
13-16,0,0.234042553,0.194002068,0.199690103,0.213883677,0.234272529,0.214388627,0.201122544,0.189189189
