belonging,Lng,Lat,Cid,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage,year,month,day,floor_num,relativeHeight,buildingType_towel,buildingType_bungalow,buildingType_comb,buildingType_plate,house_cnt,mall_cnt
3,116.555729,40.162058,1111027379605.0,0.0,75.25,12430.5,58.41,1.25,1.25,0.75,1.0,3.25,2009.0,1.0,2.0,0.37475,0.0,0.25,0.0,13.0,44235.0,2011.0,10.75,10.0,8.25,1.5,0.0,0.0,0.75,0.25,4.0,2.0
4,116.4232138888889,40.13194955555556,1111027379359.111,0.0,136.27777777777777,12797.0,113.19333333333331,2.333333333333333,1.4444444444444444,1.0,1.5555555555555556,4.0,1999.111111111111,1.0,2.4444444444444446,0.5,0.0,0.3333333333333333,0.0,6.0,32207.555555555555,2011.0,9.88888888888889,18.33333333333333,6.0,2.0,0.0,0.0,0.0,1.0,9.0,2.0
5,116.5551056,40.10356373333333,1111027379149.1333,0.0,122.88,12967.733333333334,94.68266666666666,2.2666666666666666,1.4666666666666666,0.9333333333333332,1.2666666666666666,3.733333333333333,2002.2,1.0,3.466666666666667,0.4671333333333333,0.4,0.2,0.3333333333333333,13.0,44489.0,2011.0,10.066666666666666,15.266666666666667,7.8,2.4,0.0,0.0,0.2666666666666666,0.7333333333333333,15.0,1.0
6,116.42937124324324,40.079915654654656,1111027379967.9248,0.093093093093093,97.91051051051052,8219.27027027027,125.97471471471472,2.4384384384384385,1.4144144144144144,0.996996996996997,1.6516516516516515,3.219219219219219,2002.987987987988,1.0,3.3513513513513518,0.4198828828828829,0.6126126126126126,0.09009009009009,0.4234234234234234,6.0,37302.75675675676,2011.0,11.0990990990991,12.74174174174174,14.00900900900901,1.975975975975976,0.2282282282282282,0.0,0.0960960960960961,0.6756756756756757,333.0,3.0
9,116.670768,40.209956,1111027377879.0,0.0,141.06666666666666,15430.0,91.76666666666668,2.333333333333333,1.6666666666666667,1.0,1.0,4.0,2008.0,1.0,6.0,0.5,1.0,0.0,0.0,13.0,47194.0,2011.0,9.0,21.666666666666668,6.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0
25,116.69994942857144,39.94031128571429,1111027381480.5715,0.0,104.7,12057.142857142857,87.08428571428571,2.0,1.2857142857142858,1.0,1.1428571428571428,4.0,2002.571428571429,1.0,2.0,0.5,0.0,0.8571428571428571,0.0,11.0,40525.28571428572,2011.0,11.0,13.857142857142858,6.428571428571429,2.142857142857143,0.0,0.0,0.0,1.0,7.0,1.0
26,116.703713,39.95821,1111027379259.0,0.0,98.75,9388.333333333334,105.18833333333332,3.0,1.0,1.0,1.0,4.0,1994.0,1.0,2.6666666666666665,0.5,0.0,0.8333333333333334,0.0,11.0,32117.0,2011.0,10.666666666666666,20.0,6.0,1.8333333333333333,0.0,0.0,0.0,1.0,6.0,0.0
27,116.60306137142857,40.05185148571429,1111027377982.0571,0.0,84.11999999999999,12988.914285714283,64.51428571428572,1.9714285714285715,1.0285714285714285,1.0,1.0,3.742857142857143,1990.1714285714288,1.0,2.685714285714285,0.3998857142857143,0.0571428571428571,0.5428571428571428,0.0,8.542857142857143,37891.97142857143,2011.0,10.6,15.4,6.057142857142857,2.4,0.0857142857142857,0.0,0.0,0.9142857142857144,35.0,5.0
28,116.63445011111112,40.03203666666666,1111027381752.0,0.0,89.78888888888889,8898.111111111111,106.93777777777778,2.555555555555556,1.2222222222222223,0.8888888888888888,1.5555555555555556,4.0,1999.0,1.0,2.4444444444444446,0.4722222222222222,0.0,0.6666666666666666,0.0,13.0,34446.88888888889,2011.0,10.11111111111111,17.0,6.333333333333333,2.111111111111111,0.0,0.0,0.0,1.0,9.0,1.0
79,116.319699,39.62703,1111027378149.0,0.0,108.0,8277.0,131.15,3.0,1.6666666666666667,1.0,1.6666666666666667,2.6666666666666665,2004.6666666666667,1.0,5.333333333333333,0.25,0.3333333333333333,0.0,0.0,4.0,30674.0,2011.0,9.666666666666666,11.333333333333334,11.333333333333334,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,3.0,0.0
