year,year,buildingType_tower,buildingType_bungalow,buildingType_comb,buildingType_plate
2011,,0.23027027027027028,0.0,0.24324324324324326,0.5264864864864864
2012,,0.2751828085360394,0.0,0.19265781226682585,0.5321593791971347
2013,,0.26364808711849835,0.0,0.20876916463676745,0.5275827482447342
2014,,0.27743550250288795,0.0,0.2011936850211783,0.5213708124759338
2015,,0.2843989329661819,8.605111436193098e-05,0.2220979261681439,0.49341708975131227
2016,,0.29815178390088687,0.0,0.21907792295714576,0.48277029314196734
2017,,0.2756357670221493,0.0,0.20741044572053596,0.5169537872573148
2018,,0.4090909090909091,0.0,0.18181818181818182,0.4090909090909091
