,name,longitude,latitude
191,北京建外环宇荟,116.162101,39.922948
192,北京悦荟(南环路店),116.239161,40.212115
194,北京新世界利莹百货,116.4803333,39.9866667
195,北京新世界商场,116.417516,39.896512
196,北京新昌百商场,116.2330302,40.2243952
197,北京方庄购物中心,116.428819,39.865496
198,北京明发广场,116.325612,39.68785
201,北京熙悦天街,116.184867,39.732991
202,北京燕莎奥特莱斯,116.488839,39.878694
203,北京环球城市大道Universal CityWalk Beijing,116.677137,39.851692
204,北京百货公司第一商场,116.430744,39.932674
205,北京百货大楼集团新业商场,116.421957,39.897961
206,北京百龙天安商场西门,116.400412,39.900758
207,北京石景山万达广场,116.226867,39.905826
208,北京缤纷汇购物中心,116.459256,39.894014
209,北京菜市口生活购物广场,116.367185,39.888872
211,北京赛尔奥特莱斯商业广场,116.323761,39.828993
212,北京赛特奥莱,116.50374,40.035655
214,北京鑫志利华百货,116.662124,40.112368
215,北京银泰中心in01(建国门外大街店),116.459374,39.907557
216,北京长安天街,116.123328,39.905131
217,北京馨港购物商场,116.666081,40.034398
219,北投购物公园,116.401772,39.978941
220,北辰荟,116.387761,40.003452
222,千禧商业街,116.283342,39.890064
223,半壁店商业广场,116.637096,39.880818
224,华冠·欢乐城,115.964609,39.618375
225,华冠天地(房山城关店),116.069472,39.649172
226,华冠生活购物广场(窦店),115.961669,39.726964
227,华冠购物中心(良乡店),116.139337,39.735063
228,华创生活广场(安立路店),116.372488,40.010122
229,华发颐园商业中心,116.414275,40.043611
230,华堂商场,116.3376445,39.7580266
231,华夏幸福创新中心·特色商街,116.301559,39.823149
232,华威商场,116.374707,39.911162
235,华宇时尚购物中心,116.323417,39.965368
236,华尚金泰广场,116.212845,39.76148
237,华瀚商业中心,116.49649,39.876371
238,华燕商贸诚信商场,116.4401464,40.0861174
239,华睦生活广场,116.324665,39.883596
240,华联商厦,116.339293,39.991913
241,华联购物中心,116.5522686,39.8301707
242,华联顺义金街购物中心,116.6511463,40.1205729
243,华腾新天地,116.487852,39.886067
244,华荣商场,116.189459,39.910693
246,华谊生活广场,116.846553,40.377581
247,华贸天地,116.430521,40.048137
248,华贸广场,116.479971,39.909987
250,华远好天地中心,116.695835,39.870883
251,南绍商场,116.28791,40.207454
252,博泰国际商业广场,116.466738,40.002243
254,双信商城(东关店),115.981736,40.461942
255,双信大型百货商城(恒生超级批发市场店),115.989576,40.466482
256,双安商场,116.3253301,39.9668717
257,古隆盛服装百货生活广场(阳光华威市场店),116.471323,39.858084
258,合景·摩方购物中心,116.418094,39.899815
259,合生·麒麟新天地,116.605772,39.915375
260,合生广场,116.397728,39.855749
261,合生汇,116.4788054,39.8934811
262,吉星德亿生活广场,116.331763,39.731108
263,吉龙商城,116.396889,39.896168
264,同观商业中心,116.366446,39.980133
265,后时代广场(梦秀欢乐广场店),116.456967,39.994064
266,向日葵广场,116.703642,39.937401
269,和美购物广场(平谷店),117.109621,40.142858
270,哇沃生活广场(学院路店),116.348856,39.957568
271,哈德门广场,116.420346,39.899767
272,唐人街购物广场,116.390749,39.981208
274,喜登隆商城,116.631878,40.310974
276,喜隆多购物广场,116.196401,39.930693
277,嘉禾四季汇商场,116.278658,39.951352
279,四元平价商场,116.476799,39.981381
280,四元桥购物中心,116.460807,39.978579
281,四海金龙,116.411992,40.526993
283,国华商场(宣武门店),116.363904,39.898964
285,国泰广场,116.651921,40.129538
286,国泰百货,116.4355406,40.0734696
287,国泰良辰百货,116.141564,39.728751
289,国瑞购物中心,116.419732,39.898331
290,国营兴糖商场,116.335506,39.722295
291,国象商业,116.133841,40.071139
292,国贸商城,116.459288,39.910882
294,圣熙8号购物中心,116.353877,40.008805
295,地安门商场,116.395833,39.938199
296,城乡购物中心(公主坟店),116.307452,39.908792
298,城市广场,116.502823,39.914628
299,复兴商业城,116.656921,40.141583
301,大东百货商场,116.527773,39.674051
302,大兴大悦春风里,116.342458,39.730349
303,大兴星城商厦,116.338982,39.730513
304,大华商场,116.39638,39.935598
305,大成国际(梅朵工厂店),116.492735,39.900391
306,大族广场Mall&More,116.512841,39.791811
307,大栅栏商场,116.3951161,39.8958875
309,大通德昂淘宝城,116.668658,39.883134
310,大雄商业中心,116.494985,39.799612
312,天圣发商业中心,116.189182,39.911451
313,天坛生活广场,116.319271,39.836153
314,天安凯富莱商场,116.4000812,39.9024428
315,天惠源商场,116.391185,40.177518
316,天桥百货商场,116.398526,39.886517
317,天泰商场,116.256064,39.889727
318,天瑞金宝商城,116.417582,39.914884
319,天美生活商城(明日嘉园店),116.285636,39.829549
320,天虹(北京国展店),116.341306,39.888769
321,天虹商场,116.393563,40.00072
322,天键广场,116.314638,39.752581
323,太阳飘亮购物中心,116.527835,40.213212
324,奥士凯公司东直门商场,116.435501,39.949153
326,好世界商业广场(北京国际中心店),116.462701,39.921422
328,好友世界商场,116.410757,39.911573
330,孟庆海百货商城,117.129473,40.536914
332,宏鑫商城,116.070471,39.674615
334,宛平城便民购物中心,116.231927,39.852431
335,宜尚百货商场,116.335716,40.08033
337,家庭号购物中心,116.76937,40.196462
338,密云万象汇,116.835408,40.355646
339,富诺登生活广场,116.549161,39.818493
340,富贵园购物中心(广渠门内大街店),116.432416,39.894272
341,小人国商场,116.233988,40.270381
342,尚街购物中心,116.517222,39.91703
343,居然之家家居生活MALL(丽泽店),116.310191,39.872163
345,工美大厦(王府井店),116.455772,39.878306
346,帝园商城,116.3402704,39.7319307
347,广丰购物,116.317466,39.757373
348,庄胜崇光百货(宣武门店),116.375013,39.89585
350,康健宝盛广场,116.372707,40.036358
351,延庆人民商场(东顺城街店),115.975007,40.458957
352,当代商城,116.321031,39.97058699999999
353,怀柔商业大厦,116.633369,40.314963
354,恒基商城,116.427673,39.90642
355,恒大城市广场,116.532913,39.968719
356,恒源商厦,116.155197,39.808923
357,悠乐汇,116.476671,39.989618
358,悠唐生活广场,116.4401811,39.922338
359,悠唐购物中心,116.438951,39.921623
360,悦茂购物中心,116.34972,40.043497
361,悦街(中粮·京西祥云店),116.218585,39.801245
362,悦邻百姓广场,116.309476,39.89441
363,惠仁达商场,116.662755,40.110339
364,惠美商厦(东外大街店),115.979796,40.460508
365,房山人民商场,115.971266,39.697481
366,房山商业大楼良乡商场,116.142681,39.736148
368,手机商场,116.413141,39.78631
369,护国新天地,116.375451,39.935402
370,提灯街,116.466324,39.957473
371,搜秀城,116.419273,39.896539
372,斯普瑞斯奥特莱斯,116.596194,40.011221
373,新世界百货,116.4133224,39.89947129999999
374,新世纪(三宫庙胡同店),116.34303,39.808885
376,新世纪商城兴寿商场,116.415188,40.222698
377,新世纪商城小汤山商场,116.391712,40.177236
378,新世纪商城崔村商场,116.363661,40.221197
379,新世纪商城星城商场,116.1329009,40.2347131
380,新世纪商城汤山商场,116.391671,40.17731
381,新世纪商城阳坊商场,116.14478,40.13945
382,新世纪新晨商场,116.367663,40.075163
383,新业广场,116.447081,39.857384
384,新中关购物中心,116.315277,39.978335
385,新华商场,116.6701038,39.90879109999999
386,新地佰商场,116.568108,40.778015
388,新奥天虹,116.396034,40.001509
390,新年华购物中心,116.325635,39.877289
391,新悦百货(龙山东路店),116.484737,39.977235
392,新时特购物广场,116.319957,39.848824
393,新来福三环新城(特许经营店),116.30769,39.84829
394,新泰商场,116.667869,39.911764
395,新活馆,116.413225,39.899797
396,新源商场,116.233675,40.225026
397,新燕莎金街购物广场,116.410561,39.909833
398,新番时光里,116.490323,39.984879
399,新街口百货商场,116.372227,39.940196
400,新辰里购物中心,116.406398,39.991329
401,新达商场,116.632431,40.33229
402,新风商场,116.644602,40.138207
403,方庄购物中心,116.4289883,39.865567
404,方恒时尚中心,116.340805,39.968286
406,日上商厦,116.00349,40.46122
407,日坛上街,116.443688,39.919079
410,时代Life(方庄时代生活广场店),116.575769,39.894584
411,时代金街,116.369845,39.846218
412,旺角购物广场,116.463128,40.001401
413,旺铺街地下商城,116.112996,39.935523
414,昆仑·汇购物中心,116.4582159,39.9484684
415,昆泰商城,116.444574,39.923074
416,昌发展万科广场,116.315847,40.066232
417,昌平八达岭奥特莱斯(万丰路店),116.170269,40.234839
418,昌平县天宝商场,116.234345,40.269765
420,昕春光地下商城,116.6329773,40.3145605
422,春平广场,116.451068,39.924261
423,春成商场,116.656205,40.212237
426,暖山生活,116.415407,40.031967
427,月恒正大新生活广场,116.312742,39.87886
428,朗福儿童广场,116.859365,40.377165
429,望京华彩商业中心,116.46782,40.010455
430,望京小街WALK,116.482352,39.989421
432,望馨商业中心,116.462133,40.009085
433,朝外Men雅宝商城,116.441864,39.921693
434,朝林广场B座,116.50635,39.791818
435,朝阳商业大楼(西坝河中里社区店),116.439622,39.961836
436,朝阳大悦城,116.517717,39.924728
438,来福士中心,116.432683,39.939697
440,杰通商场,116.34164,39.731901
441,极卓广场,116.644293,39.89169
442,林奥CITY PARK购物中心,116.427213,39.86647
443,枫尚奥特莱斯购物广场,117.094713,40.144868
444,枫尚生活广场(陈列馆路店),116.672795,39.929636
445,枫蓝国际购物中心,116.356605,39.952958
446,格兰仕,116.345054,39.717259
448,梅源商厦,116.419522,39.797848
449,梦秀欢乐广场,116.456687,39.993893
450,梨园淘宝城新生活广场,116.166286,40.362053
451,棕榈泉生活广场,116.4788,39.931954
452,橙天购物,116.411955,40.1179097
453,檀州大厦商场,116.844469,40.375144
454,次渠购物中心,116.569603,39.803972
455,欧美汇购物中心,116.314045,39.979434
456,欧陆广场,116.546838,40.066852
457,欧陆时尚购物中心,116.54797,40.066875
458,正光天和商业广场(兴华大街店),116.332842,39.756986
459,正大中心,116.467852,39.912578
461,毕淘买生活广场,116.490901,39.975785
463,民生商场,116.34072,39.731519
464,水晶港生活广场,116.337179,39.757598
466,永利国际中心,116.444682,39.934667
467,永安路百货商场,116.39167,39.88636
468,永旺国际商城,116.290021,40.09596
469,永旺梦乐城(北京丰台店),116.29207,39.817953
470,永湖商业广场,116.64271,39.893092
471,永盛嘉禾购物中心,116.562299,40.148246
473,汇嘉商场,116.2679432,39.545957
474,汉光百货,116.375191,39.909408
475,江隆源商场,116.632859,40.314488
476,沁春汇商业广场,116.334777,40.05788
477,泛悦坊(西城店),116.342952,39.87685
478,泰禾新天地,116.219714,39.904333
479,泰禾里,116.321447,39.713215
480,活力东方购物广场,116.522141,39.940526
481,润福霖购物中心(采育店),116.241355,39.835044
482,淘汇新天(王府井步行街店),116.410627,39.91597
483,清河万象汇,116.334435,40.030181
484,清河百货商场,116.294814,40.014954
485,温榆广场,116.561933,40.049882
486,港龙商业中心(回龙观西大街店),116.331289,40.078283
487,滕鸿源综合商场,116.639288,39.660378
490,潮驿178,116.416,40.040231
491,澳门中心,116.413327,39.914866
492,瀛海环宇坊,116.448613,39.758038
494,燕丰商场,116.439068,39.96008
495,燕京商场,116.652034,40.134598
496,燕莎友谊商城(金源店),116.29095,39.958881
497,燕莎友谊商城(亮马桥店),116.463019,39.948858
498,燕莎奥特莱斯购物中心,116.487321,39.877498
499,燕赛奥特莱斯购物中心(密云店),116.84502,40.374349
500,燕隆汇生活广场,116.062204,39.711134
502,爱悦城,116.141573,39.729923
504,玉泉商业生活中心,116.252251,39.976021
505,王府中環,116.40956,39.912438
506,王府井U生活中心(右安门店),116.364679,39.872068
507,王府井喜悦,116.411815,39.916227
509,王府井奥莱·香江小镇,116.505252,40.035509
510,王府井银泰in88,116.411823,39.915746
511,王府井食品商场,116.411515,39.911661
512,玖安广场,116.408915,39.952121
513,玫瑰城购物中心,116.337245,39.752756
514,环球新意百货,115.975966,40.461638
515,瑞兴隆商业广场,116.510956,39.844476
516,瑞嘉商场,116.846384,40.374859
517,瑞城商业中心,116.467346,39.95025
518,瑞程奥特莱斯,116.368938,39.83314
519,甘家口商场,116.333684,39.927127
522,百分百购物中心(漷马路旧线店),116.553645,39.762442
523,百品尚购物中心(康庄店),115.902105,40.373121
525,百尚生活广场,116.544945,39.753013
526,百盛购物中心,116.358085,39.908134
527,百联清城国际购物中心,116.3319713,39.7394549
528,百联清城购物中心(兴华大街店),116.331587,39.738727
529,百荣世贸商城,116.398186,39.861055
531,盛景国际广场,116.202026,39.908067
532,碧泉商场,116.161739,39.926456
535,第5大道精品休闲购物广场,116.406931,40.003217
536,管庄购物城,116.590592,39.912446
537,米兰·life生活广场,116.312643,39.879775
538,米拉广场,116.545498,39.759978
539,精品购物中心,116.330426,40.057692
540,繁星西单商场连锁店,116.42705,39.805102
541,维吉奥广场(弯里中心店),116.501323,39.86723
543,绿地缤纷城(大兴店),116.33415,39.764158
544,绿地缤纷荟(采育店),116.62702,39.655818
545,绿色缤纷中央广场,116.334122,39.765893
546,美达大厦地下商场,116.570811,39.80264
547,翠微百货,116.2649652,39.8886671
548,老佛爷百货,116.374891,39.914132
549,老番街批发市场,116.4413285,39.9210935
550,老白广路商场,116.358659,39.883617
551,聚乐汇,116.640471,40.129271
552,肥桃生活广场(主语国际店),116.324575,39.934152
553,胜利商场,116.654441,40.140299
