belonging,Lng,Lat,Cid,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage,year,month,day,floor_num,relativeHeight,buildingType_towel,buildingType_bungalow,buildingType_comb,buildingType_plate,house_cnt,mall_cnt
4,116.4245602,40.1289182,1111027378653.2,104.2,335.4,35590.2,95.77,2.2,1.2,1.0,1.0,4.0,2004.2,3.8,2.0,0.5,0.0,1.0,0.0,6.0,37583.8,2018.0,1.0,2.0,6.2,2.4,0.0,0.0,0.0,1.0,5.0,2.0
5,116.5601915,40.101527,1111027378885.0,49.5,450.0,48693.0,93.075,2.5,1.5,1.0,1.5,3.5,2001.0,4.0,4.0,0.6665,0.5,0.5,0.5,13.0,46188.0,2018.0,1.0,2.0,7.0,1.5,0.0,0.0,0.5,0.5,2.0,1.0
6,116.43614055555555,40.07655277777778,1111031480677.0,23.88888888888889,458.77777777777777,42080.77777777778,105.80333333333334,2.2222222222222223,1.4444444444444444,1.0,1.5555555555555556,3.333333333333333,2003.4444444444443,3.555555555555556,3.333333333333333,0.4258888888888889,0.4444444444444444,0.4444444444444444,0.0,6.111111111111111,42634.77777777778,2018.0,1.0,2.333333333333333,11.333333333333334,2.333333333333333,0.2222222222222222,0.0,0.0,0.7777777777777778,9.0,3.0
27,116.605893,40.054165,1111027373802.0,14.0,265.0,39886.0,66.44,2.0,1.0,1.0,1.0,4.0,1994.0,4.0,2.0,0.5,0.0,1.0,0.0,7.0,39306.0,2018.0,1.0,2.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,5.0
79,116.320777,39.63631,1111047250644.0,27.0,329.0,32773.0,100.39,3.0,2.0,1.0,2.0,3.0,2014.0,4.0,6.0,0.5,0.0,0.0,0.0,4.0,32703.0,2018.0,1.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
83,116.1957435,39.764446500000005,1111053154372.0,69.5,316.5,36901.0,85.88499999999999,2.0,1.0,1.0,1.0,3.5,2013.0,4.0,6.0,0.5,1.0,0.0,0.5,5.0,39148.5,2018.0,1.0,2.0,17.5,2.5,0.0,0.0,0.5,0.5,2.0,5.0
84,116.593413,39.773674,1111046997447.0,52.0,300.0,33857.0,88.61,3.0,2.0,1.0,1.0,4.0,2014.0,4.0,6.0,0.333,0.0,0.0,0.0,11.0,36263.0,2018.0,1.0,3.0,16.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0
85,116.508181,39.807662,1111027374693.0,176.0,168.0,31663.0,53.06,1.0,1.0,1.0,1.0,1.0,2008.0,4.0,6.0,0.2,1.0,1.0,1.0,3.0,28609.0,2018.0,1.0,3.0,23.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0
86,116.542892,39.749119,1111027379032.0,40.0,418.5,36521.0,114.91,3.0,1.5,1.0,1.5,4.0,2009.5,4.0,6.0,0.5835,1.0,0.5,0.0,11.0,35675.0,2018.0,1.0,3.0,13.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0
120,116.64663766666666,39.901119,1111027378579.2222,30.88888888888889,392.2888888888889,44901.0,87.06333333333333,1.6666666666666667,1.2222222222222223,1.0,1.2222222222222223,2.555555555555556,2006.0,3.333333333333333,5.555555555555555,0.375,0.8888888888888888,0.5555555555555556,0.2222222222222222,10.555555555555555,44782.444444444445,2018.0,1.0,2.555555555555556,14.77777777777778,2.0,0.3333333333333333,0.0,0.4444444444444444,0.2222222222222222,9.0,16.0
122,116.3547472,40.081802,1111031287567.4,58.0,453.6,48862.2,93.232,2.4,1.0,1.0,1.2,3.8,2006.2,2.8,3.6,0.4666,0.4,0.4,0.6,6.0,47201.2,2018.0,1.0,2.6,9.2,2.4,0.0,0.0,0.2,0.8,5.0,3.0
123,116.324048,40.073118,1111037365200.0,0.0,385.0,46814.0,82.895,2.0,1.0,1.0,1.0,3.5,2008.0,2.5,4.0,0.4585,1.0,0.0,0.0,6.0,47453.5,2018.0,1.0,1.0,19.5,3.0,0.0,0.0,0.5,0.5,2.0,7.0
127,116.339906,39.781801,1111027381745.0,61.0,440.0,37314.0,117.92,2.0,2.0,1.0,2.0,4.0,2002.0,4.0,2.0,0.5,0.0,1.0,1.0,4.0,45110.0,2018.0,1.0,3.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0
128,116.448203,39.8025235,1111027378693.0,87.0,395.0,44710.0,88.35,2.0,1.0,1.0,1.0,3.5,2005.5,3.5,4.0,0.375,0.5,0.5,0.0,3.0,44108.0,2018.0,1.0,2.0,8.0,1.0,0.0,0.0,0.5,0.5,2.0,4.0
129,116.66715433333331,39.87840333333333,1111027378728.6667,44.333333333333336,376.0,37800.333333333336,98.78000000000002,2.0,1.3333333333333333,1.0,1.0,3.333333333333333,2008.0,4.0,6.0,0.324,1.0,1.0,0.3333333333333333,11.0,41088.333333333336,2018.0,1.0,2.333333333333333,15.666666666666666,1.6666666666666667,0.0,0.0,0.6666666666666666,0.3333333333333333,3.0,4.0
130,116.33564433333332,39.72927933333333,1111039479948.0,14.333333333333334,285.0,37798.0,78.70666666666666,2.0,1.0,1.0,1.0,3.6666666666666665,2006.0,1.6666666666666667,4.666666666666667,0.4243333333333334,0.6666666666666666,0.3333333333333333,1.0,4.0,44639.0,2018.0,1.0,2.6666666666666665,17.0,2.333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0,14.0
131,116.154608,39.726495,1111027379063.0,61.0,193.0,38935.0,49.57,1.0,0.0,1.0,1.0,4.0,2009.0,4.0,6.0,0.333,1.0,0.0,1.0,5.0,35310.0,2018.0,1.0,2.0,15.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0
133,116.265066,40.166068,1111027379515.0,23.0,354.5,45432.0,78.03,3.0,1.0,1.0,1.0,4.0,2009.0,1.0,6.0,0.333,1.0,1.0,0.0,6.0,45933.0,2018.0,1.0,3.0,18.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0
147,116.3282055,39.675437,59060261006751.0,125.5,413.5,43001.0,96.17,4.0,1.0,1.0,1.5,4.0,2014.0,4.0,6.0,0.5,1.0,0.0,1.0,4.0,42644.0,2018.0,1.0,1.5,27.5,2.5,0.0,0.0,0.0,1.0,2.0,0.0
148,116.423115,39.676405,1111027381935.0,31.0,224.5,25477.5,88.125,2.0,1.0,1.0,1.0,4.0,2012.0,2.0,6.0,0.4165,0.0,0.0,0.0,4.0,26169.0,2018.0,1.0,2.5,6.0,2.5,0.0,0.0,0.0,1.0,2.0,0.0
149,116.350565,39.733387,1111027381444.0,38.0,222.5,40647.0,54.74,2.0,1.0,1.0,1.0,4.0,1993.0,3.0,2.0,0.5,0.0,0.0,1.0,4.0,37228.0,2018.0,1.0,3.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
167,116.683576,40.124464,1111027381870.0,19.0,365.0,33059.0,110.41,3.0,1.0,1.0,1.0,4.0,2002.0,4.0,2.0,0.5,0.0,1.0,0.0,13.0,34626.0,2018.0,1.0,1.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0
171,116.6711942,40.1269818,1111027377459.4,1.8,289.2,39996.2,73.598,2.2,1.2,1.0,1.2,4.0,1997.0,2.4,2.0,0.4666,0.0,0.6,0.6,13.0,38401.6,2018.0,1.0,1.6,6.0,2.4,0.0,0.0,0.0,1.0,5.0,15.0
174,116.243239,40.227995,1111027378860.5,58.5,172.5,38072.0,45.855,1.5,1.0,1.0,1.0,4.0,1987.0,2.0,2.0,0.333,0.0,0.5,0.0,6.0,36412.5,2018.0,1.0,1.0,5.5,1.5,0.0,0.0,0.0,1.0,2.0,8.0
178,116.2658665,40.1927135,1111041035981.0,35.5,277.0,46529.0,62.645,1.5,1.0,1.0,1.0,3.5,2011.0,2.5,6.0,0.35,1.0,0.0,0.0,6.0,43025.5,2018.0,1.0,2.5,19.5,1.5,0.0,0.0,0.5,0.5,2.0,2.0
181,116.366736,40.091609,1111027375384.0,27.0,524.0,44051.5,118.95,3.0,1.0,1.0,1.0,4.0,2006.0,2.0,2.0,0.5,0.0,0.5,1.0,6.0,43641.0,2018.0,1.0,2.0,6.0,1.5,0.0,0.0,0.0,1.0,2.0,0.0
182,116.3157585,40.0959085,1111027379025.0,146.5,380.0,42698.0,96.4,2.0,1.5,1.0,1.5,3.5,2009.5,3.5,4.0,0.4165,0.0,1.0,0.0,6.0,43216.5,2018.0,1.0,2.5,8.5,2.0,0.0,0.0,0.5,0.5,2.0,0.0
